Country,Average,,,,,,
Nauru,-0.103352941,,,,,,
Nepal,0.206084746,,,,,,
Netherlands,0.668627119,,,,,,
Netherlands Antilles (former),0.369220339,,,,,,
New Caledonia,0.316,,,,,,
New Zealand,0.266355932,,,,,,
Nicaragua,0.433813559,,,,,,
Niger,0.54579661,,,,,,
Nigeria,0.551966102,,,,,,
Niue,0.153965517,,,,,,
Norfolk Island,0.222592593,,,,,,
North Macedonia,0.946785714,,,,,,
Norway,0.594135593,,,,,,
Oman,0.267050847,,,,,,
Pacific Islands Trust Territory,0.033066667,,,,,,
Pakistan,0.199237288,,,,,,
Palau,0.578869565,,,,,,
Palestine,0.264745763,,,,,,
Panama,0.378727273,,,,,,
Papua New Guinea,0.31979661,,,,,,
Paraguay,0.417694915,,,,,,
Peru,0.478288136,,,,,,
Philippines,0.413762712,,,,,,
Pitcairn Islands,-0.023979592,,,,,,
Poland,0.660525424,,,,,,
Portugal,0.607220339,,,,,,
Puerto Rico,0.313033898,,,,,,
Qatar,0.610305085,,,,,,
Republic of Korea,0.386372881,,,,,,
Republic of Moldova,1.045857143,,,,,,
Réunion,0.414948276,,,,,,
Romania,0.497677966,,,,,,
Russia,1.401892857,,,,,,
Rwanda,0.179545455,,,,,,
"Saint Helena, Ascension and Tristan da Cunha",0.716745763,,,,,,
Saint Kitts and Nevis,0.261071429,,,,,,
Saint Lucia,0.309627119,,,,,,
Saint Pierre and Miquelon,0.158050847,,,,,,
Saint Vincent and the Grenadines,0.351355932,,,,,,
Samoa,0.4395,,,,,,
San Marino,0.596508475,,,,,,
Sao Tome and Principe,0.403509091,,,,,,
Saudi Arabia,0.472779661,,,,,,
Senegal,0.739118644,,,,,,
Serbia,1.511571429,,,,,,
Serbia and Montenegro,0.632928571,,,,,,
Seychelles,0.405644068,,,,,,
Sierra Leone,0.547672414,,,,,,
Singapore,0.151,,,,,,
Slovakia,1.201888889,,,,,,
Slovenia,1.4205,,,,,,
Solomon Islands,0.451821429,,,,,,
Somalia,0.615338983,,,,,,
South Africa,0.453694915,,,,,,
South Georgia and the South Sandwich Islands,0.138115385,,,,,,
South Sudan,1.223222222,,,,,,
Spain,0.61520339,,,,,,
Sri Lanka,0.491881356,,,,,,
Sudan,1.229555556,,,,,,
Sudan (former),0.36494,,,,,,
Suriname,0.551169492,,,,,,
Svalbard and Jan Mayen Islands,0.847881356,,,,,,
Sweden,0.675440678,,,,,,
Switzerland,0.713762712,,,,,,
Syrian Arab Republic,0.429745763,,,,,,
Tajikistan,0.845392857,,,,,,
Thailand,0.401389831,,,,,,
Timor-Leste,0.395304348,,,,,,
Togo,0.53379661,,,,,,
Tokelau,0.254052632,,,,,,
Tonga,0.482305085,,,,,,
Trinidad and Tobago,0.443781818,,,,,,
Tunisia,0.794033898,,,,,,
Turkey,0.396762712,,,,,,
Turkmenistan,1.189464286,,,,,,
Turks and Caicos Islands,0.590226415,,,,,,
Tuvalu,0.311186441,,,,,,
Uganda,0.473322034,,,,,,
Ukraine,1.166535714,,,,,,
United Arab Emirates,0.330610169,,,,,,
United Kingdom,0.412338983,,,,,,
United Republic of Tanzania,0.41759322,,,,,,
United States of America,0.446694915,,,,,,
United States Virgin Islands,0.253983051,,,,,,
Uruguay,0.341288136,,,,,,
USSR,0.198193548,,,,,,
Uzbekistan,1.089857143,,,,,,
Vanuatu,0.412050847,,,,,,
Venezuela (Bolivarian Republic of),0.422508475,,,,,,
Viet Nam,0.368779661,,,,,,
Wake Island,0.305380952,,,,,,
Wallis and Futuna Islands,0.401084746,,,,,,
Western Sahara,0.730355932,,,,,,
Yemen,0.143870968,,,,,,
Yugoslav SFR,0.035387097,,,,,,
Zambia,0.451711864,,,,,,
Zimbabwe,0.284644068,,,,,,
