Region,Unit,Year (Raw),Year,Temperature Change
Middle Africa,°C,Y2002,2002,0.725
Middle Africa,°C,Y2003,2003,0.817
Middle Africa,°C,Y2004,2004,0.699
Middle Africa,°C,Y2005,2005,0.994
Middle Africa,°C,Y2006,2006,0.875
Middle Africa,°C,Y2007,2007,0.658
Middle Africa,°C,Y2008,2008,0.547
Middle Africa,°C,Y2009,2009,0.895
Middle Africa,°C,Y2010,2010,1.191
Middle Africa,°C,Y2011,2011,0.758
Middle Africa,°C,Y2012,2012,0.504
Middle Africa,°C,Y2013,2013,0.863
Northern Africa,°C,Y1961,1961,-0.03
Northern Africa,°C,Y1962,1962,0.129
Northern Africa,°C,Y1963,1963,0.192
Northern Africa,°C,Y1964,1964,-0.083
Northern Africa,°C,Y1965,1965,-0.153
Northern Africa,°C,Y1966,1966,0.25
Northern Africa,°C,Y1967,1967,-0.35
Northern Africa,°C,Y1968,1968,-0.163
Northern Africa,°C,Y1969,1969,0.406
Northern Africa,°C,Y1970,1970,0.048
Northern Africa,°C,Y1971,1971,-0.329
Northern Africa,°C,Y1972,1972,-0.146
Northern Africa,°C,Y1973,1973,0.091
Northern Africa,°C,Y1974,1974,-0.29
Northern Africa,°C,Y1975,1975,-0.359
Northern Africa,°C,Y1976,1976,-0.458
Northern Africa,°C,Y1977,1977,0.221
Northern Africa,°C,Y1978,1978,-0.045
Northern Africa,°C,Y1979,1979,0.561
Northern Africa,°C,Y1980,1980,0.242
Northern Africa,°C,Y1981,1981,0.138
Northern Africa,°C,Y1982,1982,0.195
Northern Africa,°C,Y1983,1983,0.046
Northern Africa,°C,Y1984,1984,0.153
Northern Africa,°C,Y1985,1985,0.363
Northern Africa,°C,Y1986,1986,0.314
Northern Africa,°C,Y1987,1987,0.545
Northern Africa,°C,Y1988,1988,0.826
Northern Africa,°C,Y1989,1989,0.1
Northern Africa,°C,Y1990,1990,0.765
Northern Africa,°C,Y1991,1991,0.303
Northern Africa,°C,Y1992,1992,-0.211
Northern Africa,°C,Y1993,1993,0.417
Northern Africa,°C,Y1994,1994,0.595
Northern Africa,°C,Y1995,1995,0.527
Northern Africa,°C,Y1996,1996,0.68
Northern Africa,°C,Y1997,1997,0.68
Northern Africa,°C,Y1998,1998,0.915
Northern Africa,°C,Y1999,1999,1.081
Northern Africa,°C,Y2000,2000,0.579
Northern Africa,°C,Y2001,2001,1.197
Northern Africa,°C,Y2002,2002,1.119
Northern Africa,°C,Y2003,2003,1.187
Northern Africa,°C,Y2004,2004,0.984
Northern Africa,°C,Y2005,2005,1.075
Northern Africa,°C,Y2006,2006,1.155
Northern Africa,°C,Y2007,2007,0.85
Northern Africa,°C,Y2008,2008,1.041
Northern Africa,°C,Y2009,2009,1.16
Northern Africa,°C,Y2010,2010,2.057
Northern Africa,°C,Y2011,2011,1.197
Northern Africa,°C,Y2012,2012,1.094
Northern Africa,°C,Y2013,2013,1.24
Southern Africa,°C,Y1961,1961,0.212
Southern Africa,°C,Y1962,1962,0.13
Southern Africa,°C,Y1963,1963,0.013
Southern Africa,°C,Y1964,1964,-0.058
Southern Africa,°C,Y1965,1965,-0.01
Southern Africa,°C,Y1966,1966,0.248
Southern Africa,°C,Y1967,1967,-0.179
Southern Africa,°C,Y1968,1968,-0.27
Southern Africa,°C,Y1969,1969,0.254
Southern Africa,°C,Y1970,1970,0.457
Southern Africa,°C,Y1971,1971,-0.129
Southern Africa,°C,Y1972,1972,-0.029
Southern Africa,°C,Y1973,1973,0.484
Southern Africa,°C,Y1974,1974,-0.508
Southern Africa,°C,Y1975,1975,-0.134
Southern Africa,°C,Y1976,1976,-0.598
Southern Africa,°C,Y1977,1977,0.171
Southern Africa,°C,Y1978,1978,-0.035
Southern Africa,°C,Y1979,1979,0.351
Southern Africa,°C,Y1980,1980,0.127
Southern Africa,°C,Y1981,1981,-0.276
Southern Africa,°C,Y1982,1982,0.275
Southern Africa,°C,Y1983,1983,0.747
Southern Africa,°C,Y1984,1984,0.556
Southern Africa,°C,Y1985,1985,0.508
Southern Africa,°C,Y1986,1986,0.329
Southern Africa,°C,Y1987,1987,0.895
Southern Africa,°C,Y1988,1988,0.286
Southern Africa,°C,Y1989,1989,-0.226
Southern Africa,°C,Y1990,1990,0.53
Southern Africa,°C,Y1991,1991,0.238
Southern Africa,°C,Y1992,1992,0.777
Southern Africa,°C,Y1993,1993,0.76
Southern Africa,°C,Y1994,1994,0.154
Southern Africa,°C,Y1995,1995,0.881
Southern Africa,°C,Y1996,1996,-0.065
Southern Africa,°C,Y1997,1997,0.161
Southern Africa,°C,Y1998,1998,1.036
Southern Africa,°C,Y1999,1999,0.955
Southern Africa,°C,Y2000,2000,0.024
Southern Africa,°C,Y2001,2001,0.381
Southern Africa,°C,Y2002,2002,0.613
Southern Africa,°C,Y2003,2003,0.993
Southern Africa,°C,Y2004,2004,0.791
Southern Africa,°C,Y2005,2005,1.118
Southern Africa,°C,Y2006,2006,0.083
Southern Africa,°C,Y2007,2007,0.846
Southern Africa,°C,Y2008,2008,0.659
Southern Africa,°C,Y2009,2009,0.601
Southern Africa,°C,Y2010,2010,1.295
Southern Africa,°C,Y2011,2011,0.248
Southern Africa,°C,Y2012,2012,0.522
Southern Africa,°C,Y2013,2013,0.884
Western Africa,°C,Y1961,1961,-0.289
Western Africa,°C,Y1962,1962,-0.12
Western Africa,°C,Y1963,1963,0.22
Western Africa,°C,Y1964,1964,-0.159
Western Africa,°C,Y1965,1965,-0.203
Western Africa,°C,Y1966,1966,0.005
Western Africa,°C,Y1967,1967,-0.241
Western Africa,°C,Y1968,1968,-0.167
Western Africa,°C,Y1969,1969,0.56
Western Africa,°C,Y1970,1970,0.33
Western Africa,°C,Y1971,1971,-0.116
Western Africa,°C,Y1972,1972,0.166
Western Africa,°C,Y1973,1973,0.566
Western Africa,°C,Y1974,1974,-0.206
Western Africa,°C,Y1975,1975,-0.333
Western Africa,°C,Y1976,1976,-0.179
Western Africa,°C,Y1977,1977,0.233
Western Africa,°C,Y1978,1978,0.25
Western Africa,°C,Y1979,1979,0.666
Western Africa,°C,Y1980,1980,0.67
Western Africa,°C,Y1981,1981,0.337
Western Africa,°C,Y1982,1982,0.319
Western Africa,°C,Y1983,1983,0.667
Western Africa,°C,Y1984,1984,0.603
Western Africa,°C,Y1985,1985,0.403
Western Africa,°C,Y1986,1986,0.397
Western Africa,°C,Y1987,1987,0.982
Western Africa,°C,Y1988,1988,0.679
Western Africa,°C,Y1989,1989,0.05
Western Africa,°C,Y1990,1990,0.793
Western Africa,°C,Y1991,1991,0.712
Western Africa,°C,Y1992,1992,0.194
Western Africa,°C,Y1993,1993,0.712
Western Africa,°C,Y1994,1994,0.412
Western Africa,°C,Y1995,1995,0.66
Western Africa,°C,Y1996,1996,1.078
Western Africa,°C,Y1997,1997,0.84
Western Africa,°C,Y1998,1998,1.185
Western Africa,°C,Y1999,1999,0.6
Western Africa,°C,Y2000,2000,0.767
Western Africa,°C,Y2001,2001,0.655
Western Africa,°C,Y2002,2002,1.011
Western Africa,°C,Y2003,2003,1.063
Western Africa,°C,Y2004,2004,0.993
Western Africa,°C,Y2005,2005,1.289
Western Africa,°C,Y2006,2006,1.235
Western Africa,°C,Y2007,2007,0.994
Western Africa,°C,Y2008,2008,0.764
Western Africa,°C,Y2009,2009,1.131
Western Africa,°C,Y2010,2010,1.624
Western Africa,°C,Y2011,2011,1.181
Western Africa,°C,Y2012,2012,0.672
Western Africa,°C,Y2013,2013,1.067
Americas,°C,Y1961,1961,0.052
Americas,°C,Y1962,1962,-0.084
Americas,°C,Y1963,1963,0.253
Americas,°C,Y1964,1964,-0.251
Americas,°C,Y1965,1965,-0.304
Americas,°C,Y1966,1966,-0.101
Americas,°C,Y1967,1967,-0.107
Americas,°C,Y1968,1968,0.006
Americas,°C,Y1969,1969,0.11
Americas,°C,Y1970,1970,0.159
Americas,°C,Y1971,1971,-0.24
Americas,°C,Y1972,1972,-0.448
Americas,°C,Y1973,1973,0.173
Americas,°C,Y1974,1974,-0.286
Americas,°C,Y1975,1975,-0.125
Americas,°C,Y1976,1976,-0.133
Americas,°C,Y1977,1977,0.499
Americas,°C,Y1978,1978,-0.064
Americas,°C,Y1979,1979,-0.06
Americas,°C,Y1980,1980,0.509
Americas,°C,Y1981,1981,0.698
Americas,°C,Y1982,1982,-0.084
Americas,°C,Y1983,1983,0.455
Americas,°C,Y1984,1984,0.08
Americas,°C,Y1985,1985,-0.002
Americas,°C,Y1986,1986,0.297
Americas,°C,Y1987,1987,0.835
Americas,°C,Y1988,1988,0.561
Americas,°C,Y1989,1989,0.188
Americas,°C,Y1990,1990,0.371
Americas,°C,Y1991,1991,0.408
Americas,°C,Y1992,1992,0.255
Americas,°C,Y1993,1993,0.274
Americas,°C,Y1994,1994,0.506
Americas,°C,Y1995,1995,0.713
Americas,°C,Y1996,1996,0.189
Americas,°C,Y1997,1997,0.565
Americas,°C,Y1998,1998,1.421
Americas,°C,Y1999,1999,0.809
Americas,°C,Y2000,2000,0.735
Americas,°C,Y2001,2001,0.852
Americas,°C,Y2002,2002,0.789
Americas,°C,Y2003,2003,0.999
Americas,°C,Y2004,2004,0.694
Americas,°C,Y2005,2005,1.048
Americas,°C,Y2006,2006,1.234
Americas,°C,Y2007,2007,0.941
Americas,°C,Y2008,2008,0.593
Americas,°C,Y2009,2009,0.709
Americas,°C,Y2010,2010,1.33
Americas,°C,Y2011,2011,0.872
Americas,°C,Y2012,2012,1.352
Americas,°C,Y2013,2013,0.864
Northern America,°C,Y1961,1961,0.017
Northern America,°C,Y1962,1962,-0.058
Northern America,°C,Y1963,1963,0.372
Northern America,°C,Y1964,1964,-0.285
Northern America,°C,Y1965,1965,-0.594
Northern America,°C,Y1966,1966,-0.185
Northern America,°C,Y1967,1967,-0.195
Northern America,°C,Y1968,1968,0.196
Northern America,°C,Y1969,1969,-0.138
Northern America,°C,Y1970,1970,0.194
Northern America,°C,Y1971,1971,-0.227
Northern America,°C,Y1972,1972,-1.028
Northern America,°C,Y1973,1973,0.128
Northern America,°C,Y1974,1974,-0.376
Northern America,°C,Y1975,1975,-0.093
Northern America,°C,Y1976,1976,-0.021
Northern America,°C,Y1977,1977,0.746
Northern America,°C,Y1978,1978,-0.29
Northern America,°C,Y1979,1979,-0.243
Northern America,°C,Y1980,1980,0.675
Northern America,°C,Y1981,1981,1.193
Northern America,°C,Y1982,1982,-0.508
Northern America,°C,Y1983,1983,0.471
Northern America,°C,Y1984,1984,0.038
Northern America,°C,Y1985,1985,-0.144
Northern America,°C,Y1986,1986,0.302
Northern America,°C,Y1987,1987,1.11
